Hoesen
Stuyvesant
Abrahamsen
Achen
Achter
Ackerman
Alderink
Alders
Appelman
Appler
Arent
Aswegan
Aukes
Baenen
Baert
Baeten
Bakker
Baltes
Barben
Barger
Barkman
Barnhardt
Beckers
Behrendt
Benschoter
Blauvelt
Bloemer
Boeckman
Boerman
Borchardt
Bomgardner
Bouwkamp
Brinckerhoff
Broerman
Buell
Burkart
Campen
Cornelsen
Christoffel
Cremer
Crans
Dammer
Dautel
Dekker
Deneke
Kastner
Dirksen
Dolman
Dorenkamp
Driessen
Dyckman
Ebberts
Elenbaas
Engelhart
Eymann
Flippen
Frelinghuysen
Gabrielsen
Gerritsen
Goedert
Groeneveld
Groesbeck
Gudenkauf
Hagedorn
Haggart
Halbach
Hanneken
Happel
Hartig
Hasenkamp
Hassebroek
Hegeman
Heidebrink
Heineman
Hinkel
Hendriks
Henneman
Herrick
Hessel
Hoogendoorn
Hogenmiller
Hultman
Huyser
Janssen
Jacobsen
Josten
Joos
Kapper
Kastens
Kessel
Kerkhoff
Klaassen
Kleinheksel
Koeneman
Kolkman
Korfhage
Krammer
Kruchten
Lageman
Lambertsen
Langenkamp
Langstraat
Lauman
Ledeboer
Leffert
Lenhart
Lichtman
Lindemulder
Litteken
Ludwigsen
Louks
Luetjen
Maertens
Mallinger
Marsalis
Medendorp
Meeuwsen
Meinert
Menkes
Mielke
Moerman
Mondt
Morland
Muilenburg
Neikirk
Neubeck
Niebrugge
Nieuwen
Nordman
Ockerman
Odekirk
Oeltjenbruns
Oleson
Osterhoudt
Ouderkirk
Overholt
Palmberg
Papenfuss
Pauwels
Peerenboom
Persyn
Philipsen
Poelman
Polhemus
Prater
Quickel
Ramaekers
Rebeck
Rediger
Reeder
Rodenberg
Rosenkrantz
Roosevelt
Rozeboom
Rutgers
Sasseen
Schepman
Schermerhorn
Schoemaker
Scholtens
Schowengerdt
Schroder
Sneeringer
Sneider
Springsteen
Steenhoek
Sterken
Strauss
Strycker
Syvertsen
Theunissen
Thoemke
Tilleman
Troeger
Tromp
Turman
Unterbrink
Veldman
Verbeke
Verhagen
Verstraete
Voorhees
Vroman
Walvoord
Wauters
Wesselman
Westenhaver
Westervelt
Weydert
Wildeboer
Wolthuis
Zeger
Zevenbergen
